PHAZIRref,X939.5,X948.6,X957.7,X966.9,X976,X985.1,X994.2,X1003.3,X1012.4,X1021.4,X1030.5,X1039.6,X1048.6,X1057.7,X1066.7,X1075.8,X1084.8,X1093.8,X1102.8,X1111.8,X1120.8,X1129.8,X1138.8,X1147.8,X1156.7,X1165.7,X1174.6,X1183.6,X1192.5,X1201.4,X1210.3,X1219.2,X1228.1,X1237,X1245.8,X1254.7,X1263.5,X1272.4,X1281.2,X1290,X1298.8,X1307.6,X1316.4,X1325.2,X1333.9,X1342.7,X1351.4,X1360.2,X1368.9,X1377.6,X1386.3,X1395,X1403.6,X1412.3,X1420.9,X1429.6,X1438.2,X1446.8,X1455.4,X1464,X1472.6,X1481.2,X1489.7,X1498.3,X1506.8,X1515.3,X1523.8,X1532.3,X1540.8,X1549.2,X1557.7,X1566.1,X1574.6,X1583,X1591.4,X1599.8,X1608.1,X1616.5,X1624.8,X1633.2,X1641.5,X1649.8,X1658.1,X1666.3,X1674.6,X1682.8,X1691.1,X1699.3,X1707.5,X1715.7,X1723.8,X1732,X1740.1,X1748.3,X1756.4,X1764.4,X1772.5,X1780.6,X1788.6,X1796.6
11,0.201841,0.210016333,0.223318167,0.2328025,0.239873,0.243304833,0.245129333,0.243890167,0.241573667,0.239066833,0.236284167,0.233266667,0.2302285,0.227767,0.225889,0.224242333,0.223460667,0.223519667,0.224604667,0.227203167,0.232377333,0.241703667,0.256305667,0.274998167,0.291370833,0.301603167,0.307333833,0.312549333,0.316854833,0.319107833,0.319688667,0.3180585,0.314613333,0.310924167,0.306843667,0.303679333,0.301299333,0.299852333,0.298857667,0.298549667,0.300363167,0.304505333,0.312059333,0.3228435,0.336453167,0.352026333,0.366822,0.380421167,0.3945455,0.410636667,0.438711167,0.482072333,0.533276,0.581144,0.6185075,0.644360833,0.6592785,0.666543,0.669835167,0.670581,0.666952333,0.658852,0.648210333,0.636231833,0.623251833,0.611489667,0.600975833,0.592212833,0.584579667,0.576863333,0.568704833,0.561484667,0.555103,0.5493365,0.542471333,0.533676333,0.523833333,0.514362833,0.506439833,0.500516833,0.4968895,0.4957995,0.496983,0.499196667,0.501376167,0.503692667,0.507431333,0.511830167,0.516156833,0.521318,0.5250455,0.524311667,0.524038167,0.527455833,0.533111833,0.538905167,0.5426625,0.544045167,0.544474333,0.542590833
12,0.163582333,0.169314667,0.179663667,0.188802333,0.1953725,0.199571,0.201726,0.201404333,0.200652167,0.199403333,0.197957,0.195677,0.1939615,0.1922095,0.190898667,0.1893625,0.188228,0.1877215,0.187865833,0.189733167,0.193920333,0.201155167,0.2121755,0.226828833,0.240488333,0.249795833,0.254907667,0.259944167,0.264353,0.266899667,0.268129667,0.267171,0.264111833,0.260432167,0.256552,0.2536465,0.2515885,0.250243667,0.248561167,0.247128667,0.247307167,0.24974,0.2550065,0.263051833,0.273916333,0.287253333,0.300699167,0.313198167,0.3247715,0.335695167,0.353833167,0.3834595,0.420838,0.459051333,0.490896167,0.512936833,0.525036333,0.530930167,0.5339555,0.535929667,0.535512167,0.531672,0.525348667,0.517776,0.509588667,0.501523167,0.494731333,0.489777167,0.485633833,0.480778667,0.475692333,0.470879833,0.466585,0.462927,0.4575955,0.449543167,0.440511667,0.431446333,0.423981667,0.418429333,0.4150505,0.414069833,0.4153305,0.4177465,0.420022833,0.4224235,0.426491667,0.43114,0.435527667,0.440205667,0.4434065,0.44207,0.440625,0.442777333,0.4468945,0.4508165,0.453228833,0.454779,0.454979833,0.453608
13,0.125628333,0.128835833,0.137883,0.145615333,0.151003167,0.154818333,0.156721167,0.156610167,0.1556615,0.154373167,0.152973833,0.1510865,0.148952667,0.147687,0.146205167,0.144570167,0.143312333,0.142441667,0.142538833,0.1440205,0.147705167,0.154078,0.163144167,0.175388,0.187179667,0.195517,0.200219667,0.204858167,0.208918333,0.211104833,0.211946167,0.210999333,0.207929167,0.2047505,0.2010985,0.198335167,0.19627,0.1949955,0.193333333,0.191794333,0.191845833,0.19373,0.198133,0.205135,0.214817833,0.226721,0.238842167,0.250083167,0.260706333,0.2704505,0.286646167,0.313645333,0.348296167,0.384406167,0.414951,0.4364085,0.448568667,0.454095667,0.457204667,0.458958667,0.458667833,0.454936833,0.448952667,0.441619833,0.434173833,0.426008167,0.419637167,0.415004,0.411359833,0.407164833,0.402280333,0.397713333,0.393832667,0.390162167,0.385044167,0.377463333,0.368831167,0.360189333,0.3529935,0.3477805,0.344547333,0.344141667,0.3455035,0.347965167,0.3504295,0.3527035,0.356625833,0.361383833,0.365714667,0.370288,0.373253167,0.371634833,0.370286167,0.371696667,0.3755885,0.3793825,0.3806365,0.382251333,0.381815167,0.380151167
14,0.1314495,0.1350375,0.144722,0.153958167,0.160585667,0.164725833,0.166592833,0.167339167,0.1658835,0.163625167,0.161825333,0.159868167,0.157864333,0.156018667,0.154263667,0.1532965,0.151412333,0.150817833,0.150606667,0.1522875,0.156710833,0.1635495,0.173371667,0.186642833,0.200109667,0.208628167,0.213478167,0.218222,0.222797333,0.224940833,0.225653167,0.224539333,0.2210705,0.2168065,0.212949,0.2100845,0.207866167,0.206241333,0.2042615,0.202432,0.202235333,0.203931667,0.208426833,0.215859667,0.226309167,0.239458667,0.252922833,0.2652065,0.276167667,0.285589667,0.302011167,0.328724167,0.363222667,0.3989855,0.4292995,0.450598,0.462467333,0.466995167,0.46941,0.4708015,0.470401833,0.466715667,0.460839833,0.453763333,0.446254833,0.439022833,0.432924333,0.428147,0.424632167,0.420385833,0.4161125,0.411491,0.407718333,0.4044165,0.399468167,0.3917895,0.382852167,0.374401333,0.367335333,0.362023667,0.359265333,0.358941333,0.360711667,0.363610333,0.3663085,0.369249667,0.373167167,0.377457333,0.382337667,0.387591333,0.390854833,0.3885235,0.386551833,0.387917,0.391233667,0.394306,0.397007333,0.39796,0.397983167,0.3955265
15,0.173125667,0.176457167,0.186611167,0.195198333,0.200874167,0.205057333,0.2068895,0.206292,0.2052375,0.203397833,0.201463667,0.199005833,0.196474667,0.194894,0.193069167,0.191234167,0.189889167,0.188915167,0.1891125,0.190769,0.1947695,0.202000667,0.2129255,0.227987167,0.242134,0.251832833,0.256977667,0.261878833,0.265989667,0.268213,0.268919833,0.267639833,0.264378333,0.260669833,0.2565385,0.253379,0.251066,0.249639667,0.247699667,0.24624,0.246701,0.249392,0.255134667,0.263862833,0.275595667,0.289639833,0.303466,0.3158105,0.327699333,0.339781,0.360245333,0.392338,0.430729,0.467767167,0.496941167,0.516972,0.528033833,0.532981833,0.535584333,0.536787333,0.535442167,0.530909333,0.524232167,0.516524167,0.508938833,0.500617833,0.493761167,0.488376,0.483738833,0.478664667,0.473455333,0.468422833,0.464226167,0.460158667,0.454868667,0.4474755,0.439249833,0.431137833,0.424295,0.419300667,0.415820833,0.4153305,0.416382333,0.418411833,0.4204075,0.422142167,0.425239667,0.428892667,0.432446333,0.436716167,0.4397585,0.438788667,0.438392333,0.440497,0.4443555,0.448207,0.450082,0.451941667,0.451968,0.450832167
16,0.119187333,0.122364,0.131288667,0.1394035,0.145023,0.1485595,0.150620167,0.150000667,0.1489085,0.147496667,0.145852667,0.143675667,0.141570667,0.140347833,0.1391645,0.137952333,0.137203833,0.136863667,0.137415333,0.139164333,0.143222333,0.150001,0.160930667,0.175018167,0.188103,0.196247167,0.200654833,0.204937833,0.2087005,0.210811167,0.211547,0.210473667,0.2078795,0.2046565,0.201350667,0.198806667,0.197141333,0.1961035,0.1949555,0.1944185,0.195558667,0.1984505,0.204033833,0.212289167,0.222906,0.235318833,0.247371167,0.258290333,0.269503667,0.280911,0.301078833,0.332035667,0.3687805,0.404112,0.431924167,0.450982333,0.461451833,0.466257667,0.4688105,0.469699833,0.467924833,0.4629215,0.4556535,0.4475315,0.439118833,0.431030333,0.423922667,0.4183085,0.413730333,0.408837667,0.4037905,0.3989515,0.394638333,0.390624333,0.385538667,0.378837833,0.371146,0.363740667,0.3575925,0.3527835,0.349733,0.349454667,0.350366,0.352267833,0.354389667,0.3562125,0.359398833,0.363102833,0.366668,0.370673167,0.373850333,0.372931,0.372685667,0.374442,0.378337333,0.382376333,0.385863667,0.3863335,0.38617,0.384747667
17,0.1087715,0.112952,0.123283667,0.133942667,0.142120333,0.147628333,0.150216333,0.151236667,0.1502445,0.1481425,0.146571,0.1446435,0.142922,0.141062333,0.139291333,0.138329667,0.136307333,0.135598333,0.135414167,0.1374445,0.142605,0.1507985,0.162274333,0.177313333,0.1929835,0.203322,0.209278,0.215100667,0.220737167,0.223807833,0.225268,0.224568,0.221158833,0.216485333,0.21219,0.208981667,0.206646667,0.204828,0.202396667,0.199820167,0.199155,0.200786167,0.205690333,0.214081667,0.226036333,0.241243,0.256815333,0.270881,0.283072667,0.292781333,0.308958833,0.3353165,0.369413833,0.404886,0.435277,0.4568055,0.468725667,0.4732735,0.476206333,0.478299,0.479020333,0.476383333,0.47162,0.465660833,0.4593575,0.4530035,0.447662667,0.443466833,0.4403615,0.436752,0.433065,0.428871333,0.42555,0.4226525,0.417727,0.4100445,0.400964833,0.392227833,0.384995167,0.379480833,0.376578167,0.376266833,0.378268,0.3815105,0.384404167,0.387041333,0.390462667,0.394748833,0.3993475,0.404667167,0.407543833,0.405449667,0.403678167,0.405185,0.408447667,0.411484167,0.414653667,0.415974667,0.416142333,0.414115333
18,0.129666833,0.133226167,0.141433167,0.1495105,0.1580925,0.163360833,0.166115667,0.166144333,0.165354333,0.164084,0.1623845,0.160287667,0.158378833,0.156452333,0.1544995,0.152385,0.150144833,0.148244,0.147252667,0.1480545,0.152057167,0.159029333,0.167945167,0.179954667,0.193851,0.204205833,0.210547833,0.216724167,0.222301667,0.225418333,0.226833167,0.225791167,0.2216425,0.216277167,0.210942667,0.2068475,0.203774,0.201091667,0.1974255,0.193444833,0.191166,0.191356167,0.194781833,0.201675833,0.212954833,0.228651167,0.245371667,0.260302333,0.272692833,0.281043333,0.2937985,0.316824833,0.349194167,0.386254,0.420421,0.445612,0.459537,0.4654255,0.4688815,0.4716605,0.472788667,0.471126333,0.466864167,0.461574167,0.455153667,0.448821167,0.443338333,0.439633333,0.436823333,0.4337035,0.429944667,0.4264315,0.4233045,0.419992667,0.414745167,0.406299333,0.396367667,0.386626,0.3785405,0.372827833,0.370031,0.370182167,0.373064333,0.3773315,0.381190667,0.384638833,0.388807667,0.393894333,0.397958167,0.402947,0.406503833,0.403984667,0.400905,0.401172167,0.4037565,0.4070095,0.408981333,0.409551333,0.4095525,0.407821667
19,0.1300135,0.134266,0.142938,0.151306,0.158614667,0.164463167,0.166952167,0.167579667,0.1666755,0.165742333,0.164401667,0.1623365,0.160850667,0.1591395,0.157594167,0.155438167,0.153652167,0.1521695,0.151414,0.152606,0.156832167,0.163767833,0.1728685,0.1846305,0.197408667,0.207438333,0.213319167,0.218996167,0.224152667,0.227283167,0.228722833,0.227863667,0.2245925,0.220272833,0.2156725,0.21237,0.209963667,0.207925167,0.205023667,0.201767833,0.200170167,0.2007485,0.2041665,0.21072,0.220886333,0.234840167,0.249610667,0.262835667,0.273850833,0.2815175,0.293375667,0.314285167,0.343540167,0.377188333,0.408162167,0.431298833,0.444214833,0.449932333,0.453275,0.455748167,0.456959833,0.455161333,0.451286667,0.446134667,0.440810833,0.434408333,0.429368667,0.425799833,0.423261167,0.420131,0.416717667,0.4133585,0.410294833,0.407424667,0.402840167,0.395411333,0.386631833,0.377971,0.370784333,0.365945333,0.363508833,0.3636285,0.366139333,0.369874667,0.3732835,0.376279,0.380073,0.385218667,0.3891795,0.393756667,0.396744333,0.394501667,0.3917665,0.392516833,0.394917833,0.397831333,0.399767667,0.399276333,0.399299333,0.398130167
20,0.105587167,0.109750833,0.117823333,0.125714167,0.132804167,0.139057333,0.1419605,0.143036333,0.1427625,0.1424445,0.141846333,0.1402285,0.139282667,0.138104333,0.136845333,0.134984333,0.1334185,0.1319055,0.131044,0.131828167,0.135334833,0.141086,0.14873,0.1588555,0.1699645,0.1786785,0.183969333,0.18928,0.194111167,0.197284667,0.199045833,0.198759,0.1962125,0.192595833,0.188714667,0.185900833,0.183869167,0.182219,0.179599833,0.176447833,0.174738333,0.174882667,0.177507333,0.182777833,0.191232,0.203018,0.215615,0.227023667,0.236499333,0.242536167,0.2513405,0.267422667,0.290725,0.318528833,0.344876333,0.365023,0.376277833,0.381769667,0.385288333,0.388372,0.390481667,0.390148333,0.387712333,0.383832833,0.3791715,0.374270333,0.370407,0.367865333,0.3662355,0.363907167,0.361059333,0.3583895,0.355968833,0.353628667,0.349730667,0.343084833,0.3351565,0.327260667,0.320693,0.316024833,0.313371667,0.312694667,0.314110833,0.3167115,0.319259,0.321868,0.325325667,0.330017333,0.3335825,0.3371195,0.339479833,0.337663667,0.335312167,0.336065167,0.338402167,0.340762333,0.342305667,0.342155333,0.342173667,0.341130667
